window_size,best_window,best_cagr,worst_window,worst_cagr,avg_cagr,count
5,1995-1999,0.2860687024793318,2000-2004,-0.022878682679379314,0.11311188364293605,35
10,1989-1998,0.1920878082677131,1999-2008,-0.01303033559163258,0.10525774080484288,30
15,1985-1999,0.18908908422630888,2000-2014,0.04293037881263717,0.09545342480573156,25
20,1985-2004,0.13213421651964463,1999-2018,0.05662654530904976,0.09078357351872299,20
30,1985-2014,0.1136144436267501,1993-2022,0.09682936719643709,0.10393986250662472,10
